Week,Day,Session,Order,Exercise,Sets,Reps,Intensity,Rest,Notes
9,Thu,Heavy Deadlift Strength,1,Competition Deadlift,1,2,85% (208kg) RIR 2,4 min,"Peak block starts. Reps get lower, weight gets heavier, accessory volume starts coming down from here on - specificity over the next month."
9,Thu,Heavy Deadlift Strength,1b,Competition Deadlift (backoff),2,2,76% (186kg),3 min,
9,Thu,Heavy Deadlift Strength,2,Deadlift - 1in Deficit,3,2,65% (159kg),3 min,Deficit work is back for the final push on off-the-floor speed.
9,Thu,Heavy Deadlift Strength,3,Pendlay Row,3,5,RIR 3,2 min,
9,Fri,Squat & Quad,1,Back Squat,4,3,RIR 2-3,3 min,
9,Fri,Squat & Quad,2,Bulgarian Split Squat,2,6/side,RIR 3,90 sec,
9,Sat,Rest,,,,,,,
9,Sun,Deadlift Speed & Technical,1,Speed Deadlift (bands),6,1,60% (147kg) + heavy band,60 sec,Volume trims down but intent stays maximal every rep.
9,Sun,Deadlift Speed & Technical,2,Snatch-Grip RDL,3,5,RIR 2,2 min,
9,Sun,Deadlift Speed & Technical,3,Band Pull-Apart,2,15,RIR 3,60 sec,
9,Mon,Posterior Chain & Grip,1,Hip Thrust,3,6,RIR 2-3,2 min,
9,Mon,Posterior Chain & Grip,2,Back Extension,2,10,RIR 2-3,90 sec,
9,Mon,Posterior Chain & Grip,3,Farmer's Carry,2,40m,RIR 2-3,90 sec,
9,Tue,Upper Body & Core,1,Bench Press,3,5,RIR 3,2-3 min,
9,Tue,Upper Body & Core,2,Ab Wheel Rollout,2,8,RIR 3,90 sec,
9,Wed,Rest,,,,,,,
10,Thu,Heavy Deadlift Strength,1,Competition Deadlift,1,3,86% (211kg) RIR 2,4 min,"Near-peak. This should feel controlled and fast off the floor - if bar speed drops off badly by rep 3, that's useful data for Week 11."
10,Thu,Heavy Deadlift Strength,1b,Competition Deadlift,1,2,80% (196kg),3 min,
10,Thu,Heavy Deadlift Strength,2,Deadlift - 1in Deficit,2,2,68% (167kg),3 min,
10,Thu,Heavy Deadlift Strength,3,Pendlay Row,3,4,RIR 2,2 min,
10,Fri,Squat & Quad,1,Back Squat,3,3,RIR 2,3 min,
10,Fri,Squat & Quad,2,Bulgarian Split Squat,2,6/side,RIR 2-3,90 sec,
10,Sat,Rest,,,,,,,
10,Sun,Deadlift Speed & Technical,1,Speed Deadlift (bands),6,1,62% (152kg) + heavy band,60 sec,
10,Sun,Deadlift Speed & Technical,2,Snatch-Grip RDL,2,5,RIR 2,2 min,
10,Sun,Deadlift Speed & Technical,3,Band Pull-Apart,2,15,RIR 3,60 sec,
10,Mon,Posterior Chain & Grip,1,Hip Thrust,2,6,RIR 2,2 min,
10,Mon,Posterior Chain & Grip,2,Back Extension,2,10,RIR 2-3,90 sec,
10,Mon,Posterior Chain & Grip,3,Farmer's Carry,2,40m,RIR 2,90 sec,
10,Tue,Upper Body & Core,1,Bench Press,3,4,RIR 2-3,2-3 min,
10,Tue,Upper Body & Core,2,Ab Wheel Rollout,2,8,RIR 3,90 sec,
10,Wed,Rest,,,,,,,
11,Thu,Heavy Deadlift Strength,1,Competition Deadlift (CHECKPOINT SINGLE),1,1,91% (223kg) RIR 2-3,5 min,"The single number in this whole program that matters. Warm up in full, then take one true, hard single. How this moves is what sets your openers and attempt selection for Night of the Deadlift - not the 245kg you walked in with. If it flies recalibrate the taper upward; if it grinds, respect that and taper conservatively."
11,Thu,Heavy Deadlift Strength,2,Competition Deadlift (shakeout),1,2,75% (184kg),3 min,"Light shakeout only, after the checkpoint - not another work set."
11,Fri,Squat & Quad,1,Back Squat,2,3,RIR 3,2-3 min,Light. Protect recovery around Thursday's checkpoint.
11,Sat,Rest,,,,,,,
11,Sun,Deadlift Speed & Technical,1,Speed Deadlift (bands),5,1,55% (135kg) + moderate band,60 sec,
11,Sun,Deadlift Speed & Technical,2,Deadlift - 1in Deficit,2,2,60% (147kg),2-3 min,"Light-moderate only - this week is about absorbing Thursday, not adding more load."
11,Mon,Posterior Chain & Grip,1,Hip Thrust,2,6,RIR 3,2 min,
11,Mon,Posterior Chain & Grip,2,Farmer's Carry,2,35m,RIR 3,90 sec,
11,Tue,Upper Body & Core,1,Bench Press,2,5,RIR 3,2 min,Optional - skip entirely if you feel flat from Thursday.
11,Wed,Rest,,,,,,,
12,Thu,Heavy Deadlift Strength,1,Competition Deadlift,2,2,80% (196kg) RIR 2,3-4 min,"Taper starts here. Last real strength touch on the competition lift before Week 13 - after this session it's about staying sharp, not building anything new."
12,Fri,Squat & Quad,1,Back Squat,2,3,RIR 3,2-3 min,Light.
12,Sat,Rest,,,,,,,
12,Sun,Deadlift Speed & Technical,1,Speed Deadlift (bands),5,1,55% (135kg) + moderate band,60 sec,"Maintain bar speed feel, nothing more."
12,Mon,Posterior Chain & Grip,1,Hip Thrust,1,8,RIR 4,90 sec,Maintenance only.
12,Mon,Posterior Chain & Grip,2,Farmer's Carry,1,30m,RIR 4,90 sec,
12,Tue,Rest,,,,,,,Optional day off entirely this week - recovery outranks the extra session from here.
12,Wed,Rest,,,,,,,
