Week,Day,Session,Order,Exercise,Sets,Reps,Intensity,Rest,Notes
1,Thu,Heavy Deadlift Strength,1,Competition Deadlift,3,3,72% (191kg),3-4 min,"Baseline week. Crisp reps, reset each rep, brace hard before the pull."
1,Thu,Heavy Deadlift Strength,2,Deadlift - 1in Deficit,3,3,60% (159kg),3 min,Off-the-floor strength. Deficit load is a % of standard 1RM so it will feel heavier - stay tight off the ground.
1,Thu,Heavy Deadlift Strength,3,Pendlay Row,4,6,RIR 3,2 min,"Explosive off the floor each rep, controls bar path on the pull."
1,Thu,Heavy Deadlift Strength,4,Suitcase Carry,3,20m/side,RIR 3,90 sec,Anti-lateral-flexion bracing work.
1,Fri,Squat & Quad,1,Back Squat,4,5,RIR 3,3 min,"General leg drive strength - not a competition lift, keep it clean and controlled."
1,Fri,Squat & Quad,2,Bulgarian Split Squat,3,8/side,RIR 3,2 min,Unilateral strength and symmetry - protects against left/right imbalance under a heavy pull.
1,Fri,Squat & Quad,3,Leg Curl,3,10,RIR 3,90 sec,Hamstring balance against all the hip-hinge volume this block.
1,Fri,Squat & Quad,4,Standing Calf Raise,3,12,RIR 3,60 sec,"Tendon resilience, general robustness."
1,Sat,Rest,,,,,,,Full rest. Sleep and food are training too.
1,Sun,Deadlift Speed & Technical,1,Speed Deadlift (bands),8,1,50% (132kg) + light band,60 sec,"Dynamic effort day. Every rep max intended bar speed, not a grind - this is teaching your nervous system to move heavy weight fast."
1,Sun,Deadlift Speed & Technical,2,Snatch-Grip RDL,3,8,RIR 3,2 min,Posterior chain overload through a wider pulling range.
1,Sun,Deadlift Speed & Technical,3,Lat Pulldown,3,10,RIR 3,90 sec,Lat engagement for bar path control.
1,Sun,Deadlift Speed & Technical,4,Band Pull-Apart,3,15,RIR 3,60 sec,Shoulder health - cheap insurance against all this pulling volume.
1,Mon,Posterior Chain & Grip,1,Romanian Deadlift,3,8,RIR 3,2-3 min,"Hip hinge strength, controlled eccentric."
1,Mon,Posterior Chain & Grip,2,Hip Thrust,3,8,RIR 3,2 min,Glute strength for lockout drive.
1,Mon,Posterior Chain & Grip,3,Back Extension,3,12,RIR 3,90 sec,Erector endurance - the muscle group that fails first in high-volume deadlift blocks if it's neglected.
1,Mon,Posterior Chain & Grip,4,Farmer's Carry,3,30m,RIR 3,90 sec,Grip and total-body bracing.
1,Mon,Posterior Chain & Grip,5,Dead Hang,3,20 sec,RIR 3,60 sec,Grip endurance specific to a long lockout hold.
1,Tue,Upper Body & Core,1,Bench Press,4,6,RIR 3,2-3 min,"General upper body strength, keeps you balanced."
1,Tue,Upper Body & Core,2,DB Shoulder Press,3,8,RIR 3,2 min,Shoulder health and pressing balance.
1,Tue,Upper Body & Core,3,Ab Wheel Rollout,3,8,RIR 3,90 sec,Anti-extension bracing - directly supports intra-abdominal pressure under the bar.
1,Tue,Upper Body & Core,4,Zone 2 Cardio (bike/row),1,15 min,~60-70% max HR,,"Easy aerobic work. Supports recovery, doesn't add lower-body fatigue."
1,Wed,Rest,,,,,,,Full rest.
2,Thu,Heavy Deadlift Strength,1,Competition Deadlift,4,3,73% (193kg),3-4 min,"Volume week - one more top set than Week 1, same intensity band."
2,Thu,Heavy Deadlift Strength,2,Deadlift - 1in Deficit,4,3,62% (164kg),3 min,
2,Thu,Heavy Deadlift Strength,3,Pendlay Row,4,6,RIR 3,2 min,
2,Thu,Heavy Deadlift Strength,4,Suitcase Carry,3,25m/side,RIR 3,90 sec,
2,Fri,Squat & Quad,1,Back Squat,5,5,RIR 3,3 min,
2,Fri,Squat & Quad,2,Bulgarian Split Squat,4,8/side,RIR 3,2 min,
2,Fri,Squat & Quad,3,Leg Curl,4,10,RIR 3,90 sec,
2,Fri,Squat & Quad,4,Standing Calf Raise,3,12,RIR 3,60 sec,
2,Sat,Rest,,,,,,,
2,Sun,Deadlift Speed & Technical,1,Speed Deadlift (bands),8,1,52% (138kg) + light band,60 sec,
2,Sun,Deadlift Speed & Technical,2,Snatch-Grip RDL,4,8,RIR 3,2 min,
2,Sun,Deadlift Speed & Technical,3,Lat Pulldown,3,10,RIR 3,90 sec,
2,Sun,Deadlift Speed & Technical,4,Band Pull-Apart,3,15,RIR 3,60 sec,
2,Mon,Posterior Chain & Grip,1,Romanian Deadlift,4,8,RIR 3,2-3 min,
2,Mon,Posterior Chain & Grip,2,Hip Thrust,4,8,RIR 3,2 min,
2,Mon,Posterior Chain & Grip,3,Back Extension,4,12,RIR 3,90 sec,
2,Mon,Posterior Chain & Grip,4,Farmer's Carry,3,35m,RIR 3,90 sec,
2,Mon,Posterior Chain & Grip,5,Dead Hang,3,25 sec,RIR 3,60 sec,
2,Tue,Upper Body & Core,1,Bench Press,5,6,RIR 3,2-3 min,
2,Tue,Upper Body & Core,2,DB Shoulder Press,4,8,RIR 3,2 min,
2,Tue,Upper Body & Core,3,Ab Wheel Rollout,4,8,RIR 3,90 sec,
2,Tue,Upper Body & Core,4,Zone 2 Cardio (bike/row),1,18 min,~60-70% max HR,,
