Week,Day,Session,Order,Exercise,Sets,Reps,Intensity,Rest,Focus
9,Mon,Deadlift Strength,1,Conventional Deadlift,3,3,85% (200kg),3-4 min,Main lift — primary strength driver
9,Mon,Deadlift Strength,2,Block Pull (from knee height),3,3,85% (200kg),3 min,Sticking-point specific overload — knee transition/lockout
9,Mon,Deadlift Strength,3,Barbell Row,3,5,RIR 1-2,90s,Lat/upper back — bar path control
9,Mon,Deadlift Strength,4,Weighted Plank,3,45s,-,60s,Core/bracing
9,Tue,Squat / Quad Emphasis,1,Zercher Squat,3,5,RIR 2,2-3 min,Quad strength — direct fix for knee-transition weak point (bonus: upper-back/anti-flexion carryover to deadlift lockout)
9,Tue,Squat / Quad Emphasis,2,Bulgarian Split Squat,3,6/leg,RIR 2,90s,Unilateral quad/glute
9,Tue,Squat / Quad Emphasis,3,Bench Press,3,5,RIR 2,2-3 min,Upper body push strength
9,Tue,Squat / Quad Emphasis,4,Face Pull,3,15,RIR 2,60s,Rear delt/upper back health
9,Wed,Rest,-,Rest,-,-,-,-,Full rest
9,Thu,Deadlift Technical + Pull,1,Speed Pull (off floor),5,2,55% (129kg),2 min,"Bar speed off the floor — max intent, not max load"
9,Thu,Deadlift Technical + Pull,2,Pull-up / Lat Pulldown,3,5,RIR 2,90s,Lat strength — bar path control
9,Thu,Deadlift Technical + Pull,3,Cable Lateral Raise,3,12,RIR 1-2,60s,Shoulder strength/size — replaces OHP
9,Thu,Deadlift Technical + Pull,4,Suitcase Carry,3,30m/side,-,60s,"Core anti-lateral-flexion, grip"
9,Fri,Posterior Chain / Hip-Glute,1,Romanian Deadlift,3,5,RIR 2,2-3 min,Posterior chain — hip hinge strength
9,Fri,Posterior Chain / Hip-Glute,2,Good Morning,3,5,RIR 2,2 min,Posterior chain — supports lockout
9,Fri,Posterior Chain / Hip-Glute,3,Hip Thrust,3,6,RIR 1-2,90s,Glute strength — lockout drive
9,Fri,Posterior Chain / Hip-Glute,4,Banded Lateral Walk,3,12/side,-,45s,Hip stability
9,Sat,Upper Body + Accessories,1,Incline Bench Press,3,5,RIR 2,2 min,Upper body push strength
9,Sat,Upper Body + Accessories,2,Chest-Supported Row,3,5,RIR 2,2 min,Upper body pull strength
9,Sat,Upper Body + Accessories,3,DB Lateral Raise,3,12,RIR 2,60s,Shoulder health/size
9,Sat,Upper Body + Accessories,4,EZ-Bar Curl + Triceps Pushdown,3,10,RIR 2,60s,Arm accessory work
9,Sun,Rest,-,Rest,-,-,-,-,Full rest
10,Mon,Deadlift Strength,1,Conventional Deadlift,4,2,87.5% (206kg),3-4 min,Main lift — primary strength driver
10,Mon,Deadlift Strength,2,Block Pull (from knee height),3,2,90% (212kg),3 min,Sticking-point specific overload — knee transition/lockout
10,Mon,Deadlift Strength,3,Barbell Row,4,5,RIR 1-2,90s,Lat/upper back — bar path control
10,Mon,Deadlift Strength,4,Weighted Plank,3,50s,-,60s,Core/bracing
10,Tue,Squat / Quad Emphasis,1,Zercher Squat,3,4,RIR 2,2-3 min,Quad strength — direct fix for knee-transition weak point (bonus: upper-back/anti-flexion carryover to deadlift lockout)
10,Tue,Squat / Quad Emphasis,2,Bulgarian Split Squat,3,6/leg,RIR 2,90s,Unilateral quad/glute
10,Tue,Squat / Quad Emphasis,3,Bench Press,3,4,RIR 2,2-3 min,Upper body push strength
10,Tue,Squat / Quad Emphasis,4,Face Pull,3,15,RIR 2,60s,Rear delt/upper back health
10,Wed,Rest,-,Rest,-,-,-,-,Full rest
10,Thu,Deadlift Technical + Pull,1,Speed Pull (off floor),5,2,57.5% (135kg),2 min,"Bar speed off the floor — max intent, not max load"
10,Thu,Deadlift Technical + Pull,2,Pull-up / Lat Pulldown,4,5,RIR 2,90s,Lat strength — bar path control
10,Thu,Deadlift Technical + Pull,3,Cable Lateral Raise,3,12,RIR 2,60s,Shoulder strength/size — replaces OHP
10,Thu,Deadlift Technical + Pull,4,Suitcase Carry,3,35m/side,-,60s,"Core anti-lateral-flexion, grip"
10,Fri,Posterior Chain / Hip-Glute,1,Romanian Deadlift,3,4,RIR 2,2-3 min,Posterior chain — hip hinge strength
10,Fri,Posterior Chain / Hip-Glute,2,Good Morning,3,6,RIR 2,2 min,Posterior chain — supports lockout
10,Fri,Posterior Chain / Hip-Glute,3,Hip Thrust,4,6,RIR 1-2,90s,Glute strength — lockout drive
10,Fri,Posterior Chain / Hip-Glute,4,Banded Lateral Walk,3,12/side,-,45s,Hip stability
10,Sat,Upper Body + Accessories,1,Incline Bench Press,3,4,RIR 2,2 min,Upper body push strength
10,Sat,Upper Body + Accessories,2,Chest-Supported Row,3,4,RIR 2,2 min,Upper body pull strength
10,Sat,Upper Body + Accessories,3,DB Lateral Raise,3,12,RIR 2,60s,Shoulder health/size
10,Sat,Upper Body + Accessories,4,EZ-Bar Curl + Triceps Pushdown,3,10,RIR 2,60s,Arm accessory work
10,Sun,Rest,-,Rest,-,-,-,-,Full rest
11,Mon,Deadlift Strength — Checkpoint,1,Conventional Deadlift,1,3,70% (164kg),2 min,Warm-up
11,Mon,Deadlift Strength — Checkpoint,2,Conventional Deadlift,1,2,80% (188kg),3 min,Warm-up
11,Mon,Deadlift Strength — Checkpoint,3,Conventional Deadlift,1,1,90% (212kg),4 min,CHECKPOINT SINGLE — assess bar speed/RPE here. RPE<=8 and crisp bar speed = 270-280kg target is on track. Grindy/RPE9-10 = re-target 250-260kg for Week 14.
11,Mon,Deadlift Strength — Checkpoint,4,Conventional Deadlift,2,3,80% (188kg),3 min,Backoff volume
11,Mon,Deadlift Strength — Checkpoint,5,Barbell Row,2,5,RIR 2,90s,"Lat/upper back — bar path control, taper volume"
11,Tue,Squat / Quad Emphasis,1,Zercher Squat,2,2,RIR 1,2-3 min,Quad strength — direct fix for knee-transition weak point (bonus: upper-back/anti-flexion carryover to deadlift lockout)
11,Tue,Squat / Quad Emphasis,2,Bulgarian Split Squat,2,6/leg,RIR 2,90s,Unilateral quad/glute — reduced sets
11,Tue,Squat / Quad Emphasis,3,Bench Press,2,3,RIR 2,2-3 min,Upper body push strength
11,Tue,Squat / Quad Emphasis,4,Face Pull,2,15,RIR 2,60s,Rear delt/upper back health
11,Wed,Rest,-,Rest,-,-,-,-,Full rest
11,Thu,Deadlift Technical + Pull,1,Speed Pull (off floor),3,2,60% (141kg),2 min,Bar speed — reduced volume near peak
11,Thu,Deadlift Technical + Pull,2,Pull-up / Lat Pulldown,2,5,RIR 2,90s,Lat strength — bar path control
